constraint_score,N90,cv_effect_N90,promoter_dominance,enhancer_load,balance_metric,skewness_effect,vg_eqtl,is_essential,gene_symbol,loeuf_score,cluster,architecture_type,pca1,pca2
-0.794971011069107,13,1.6925056081549383,0.09153866004554605,0.015620628753320057,0.16298136717853162,8.599828900944273,0.000282795,1,XPR1,0.156,0,buffered (complex),-0.6367546012932651,0.5662140861404346
0.3042406262393866,5,0.3127688360275979,0.007398565362715139,0.9471522707060778,0.05578987801410269,4.909234473184481,0.000920386,1,NECTIN2,0.323,0,buffered (complex),0.3580157564732325,1.4598289952245496
-0.6547288865259785,8,0.47572383138135416,0.0,0.0,0.029561276473283965,5.488215061352824,0.00285888,1,HOXB3,0.409,0,buffered (complex),-0.18745746016816459,0.02450985795593664
-0.6323477852635593,25,0.674433048901663,0.017315253849753572,0.419940643688593,0.01612604458135341,6.469770300434412,0.000466136,1,TECPR2,0.346,0,buffered (complex),-1.2573872807484618,-0.1458875307655143
-0.9981554170959928,63,0.6876456283239054,0.06106746724997603,0.005493994827207035,0.004315347769907369,2.744674518103754,0.000253598,1,ACIN1,0.201,0,buffered (complex),-3.172504263362445,-2.2909245632074158
-0.5058381025852712,9,0.5148825843397851,0.03870589422104066,0.014622927509684155,0.033078929129344604,5.497495838787587,0.000244191,1,LRRC59,0.551,0,buffered (complex),-0.020154699256043882,-0.15035365732787817
-0.23352649608736933,14,0.5127255183947912,0.017712884674585993,0.488784126695056,0.00429738689831772,3.2945971943134804,0.000171074,1,SUGT1,0.455,0,buffered (complex),-0.30934414037749663,0.20028531870321648
-0.1926088501266197,13,0.9394119381920604,0.053243601347300266,0.1834854717666987,0.035116906710546625,8.494094970891002,0.00228939,1,NBEAL2,0.32,0,buffered (complex),-0.007070298169210271,-0.0665047539970163
-0.38006652548974856,19,0.6804262615000324,0.0029831391001331844,0.32736845683848054,0.06592145126696893,4.28916610960715,0.0115242,1,NDNF,0.512,0,buffered (complex),-0.7635205350197531,0.4513287018846991
-0.40233556046549607,18,0.7194619700837094,0.10634252150559706,0.35705081572603403,0.032645106674909996,5.175869858399005,0.000270441,1,MAU2,0.119,0,buffered (complex),-0.4685076399060278,-0.2925888075370925
-0.7468118324843773,16,1.221353992712257,0.05465995706358736,0.31356873305547406,0.04798178129048074,4.608112703144379,0.000869105,1,PKD2,0.497,0,buffered (complex),-0.823142106454398,0.09201075289831272
-0.39737639367741273,14,0.7931493684334524,0.001119486693658928,0.12033740277830675,0.0977487533339373,4.919051371351857,0.0020454,1,GAB2,0.304,0,buffered (complex),-0.4483700621304367,0.6136501296246061
